Wall time,Step,Value
1686057179.4231176,661,0.9385642409324646
1686057999.2009704,992,0.1519288867712021
1686058699.5457182,1323,0.15459044277668
1686059406.6287882,1654,0.12331778556108475
1686060117.2132788,1985,0.11642860621213913
1686060825.253886,2316,0.10106545686721802
1686061593.3960505,2647,0.0871911495923996
1686062301.4827847,2978,0.07025428116321564
1686062939.8056753,3309,0.06341924518346786
1686063569.9459245,3640,0.06705118715763092
1686064203.4140959,3971,0.06410765647888184
1686064836.8633223,4302,0.05874606594443321
1686065470.0645502,4633,0.04940294101834297
1686066103.0143373,4964,0.04889579489827156
1686066738.565675,5295,0.04260583221912384
1686067374.5156791,5626,0.04209835082292557
1686068008.0697532,5957,0.04200376570224762
1686068641.871604,6288,0.04005802422761917
1686069274.8702896,6619,0.03994172438979149
1686069908.6671176,6950,0.044536422938108444
1686070543.185528,7281,0.04084901511669159
1686071178.0428567,7612,0.04387509450316429
1686071812.3574865,7943,0.03942878544330597
1686072447.542478,8274,0.040776412934064865
1686073085.664889,8605,0.04452182725071907
1686073725.3675587,8936,0.041164249181747437
1686074364.8153963,9267,0.03890262544155121
1686074995.8459227,9598,0.03784390911459923
1686075635.158092,9929,0.03709027171134949
1686076276.2620978,10260,0.037516191601753235
1686076917.016226,10591,0.040562160313129425
1686077554.0843725,10922,0.038650672882795334
1686078187.611382,11253,0.03586098551750183
1686078826.5878398,11584,0.03298405557870865
1686079467.1273198,11915,0.03279811888933182
1686080106.5014284,12246,0.03219263628125191
1686080745.8008776,12577,0.040149081498384476
1686081386.6741285,12908,0.03470925986766815
1686082027.5749786,13239,0.03232178837060928
1686082668.568514,13570,0.03419090807437897
1686083316.1796732,13901,0.032654643058776855
1686083952.2524776,14232,0.032121870666742325
1686084592.2682781,14563,0.03699685260653496
1686085232.643452,14894,0.03098386712372303
1686085872.1227682,15225,0.02873554266989231
1686086503.956388,15556,0.028672559186816216
1686087144.563973,15887,0.028166702017188072
1686087784.5865717,16218,0.029501009732484818
1686088424.5138733,16549,0.033471692353487015
1686089059.9596293,16880,0.033214814960956573
